Time,Huaxian,Xianyang,Zhangjiashan
1978/12,0.648,0.6498144,0.07636896
1979/01,0.7787232,0.4675104,0.0691632
1979/02,0.5454864,0.4066848,0.09527328
1979/03,1.1517984,0.6051456,0.14321664
1979/04,3.707424,1.4332896,0.17311104
1979/05,2.1292416,0.780624,0.24428736
1979/06,0.27994464,0.3292272,0.06646752
1979/07,7.75389024,4.6342368,3.0649104
1979/08,4.2167088,2.8480032,1.4388192
1979/09,7.85808,4.6796832,1.2002688
1979/10,4.204656,3.084912,0.370008
1979/11,0.8401968,0.6986304,0.057024
1979/12,0.09333792,0.2858112,0.0589248
1980/01,0.29465856,0.23131008,0.05580576
1980/02,0.4732128,0.27124416,0.0931824
1980/03,0.10329984,0.19289664,0.086184
1980/04,0.77891328,0.463104,0.04823712
1980/05,2.46730752,1.34925696,0.47130336
1980/06,4.6324224,2.9300832,0.6242832
1980/07,15.2944416,9.7760736,3.00567456
1980/08,9.2289888,5.7172608,2.52066816
1980/09,11.566368,7.3465056,1.1221632
1980/10,4.99824,3.539808,0.51596352
1980/11,3.5034336,2.1162816,0.60626016
1980/12,1.039824,0.8464608,0.04777056
1981/01,0.8898336,0.5476032,0.05239296
1981/02,1.2373344,0.5475168,0.20750688
1981/03,0.74146752,0.40926816,0.104112
1981/04,2.9953152,1.3821408,0.3583008
1981/05,0.78728544,0.58174848,0.2886624
1981/06,0.766928736,0.48112704,0.66019104
1981/07,10.79936064,7.0146432,1.73791872
1981/08,26.18276832,18.1363536,5.35781952
1981/09,36.75888,22.34736,6.534432
1981/10,8.711712,5.424192,0.91911456
1981/11,5.085504,3.0436992,1.1362032
1981/12,1.5688512,0.970704,0.06767712
1982/01,1.415232,0.8179488,0.22279968
1982/02,1.7883072,1.0844928,0.24996384
1982/03,2.5962336,1.5216768,0.48398688
1982/04,4.4093376,3.0415392,0.34103808
1982/05,4.8580992,3.4507296,0.84592512
1982/06,1.6308,1.1967264,0.15740352
1982/07,1.52757792,0.6114528,0.71198784
1982/08,10.266912,3.4193664,2.662848
1982/09,14.297472,8.0803008,1.9584288
1982/10,6.551712,3.426624,0.58631904
1982/11,3.924288,2.2234176,0.8375616
1982/12,1.3368672,0.9932544,0.14253408
1983/01,0.8874144,0.6213888,0.0577152
1983/02,1.1124864,0.6057504,0.18803232
1983/03,1.1163744,0.4917024,0.4092768
1983/04,5.2938144,3.1536864,1.00477152
1983/05,9.8100288,5.4297216,2.19437856
1983/06,10.576224,5.5937088,2.0572704
1983/07,10.932192,7.2820512,0.89275392
1983/08,17.875296,9.11088,2.22122304
1983/09,21.758976,12.43728,3.790368
1983/10,36.628416,18.997632,4.4372448
1983/11,10.935648,6.172416,1.9544544
1983/12,4.5655488,2.1374496,0.59845824
1984/01,2.1175776,1.3725504,0.21391776
1984/02,2.2946112,1.2489984,0.4576608
1984/03,1.9402848,1.3203648,0.39144384
1984/04,3.0588192,1.4352768,0.62679744
1984/05,6.253632,2.928096,1.7469216
1984/06,12.521088,8.2137888,1.2979008
1984/07,27.7344,16.382304,2.8725408
1984/08,14.427936,9.019296,4.30556256
1984/09,29.080512,15.151104,3.3984576
1984/10,16.231968,8.863776,2.1255264
1984/11,7.606656,4.072896,1.395792
1984/12,5.259168,2.77344,0.65630304
1985/01,4.188672,2.7244512,0.22301568
1985/02,2.9865888,2.031264,0.3999456
1985/03,3.0037824,1.4734656,0.650592
1985/04,3.27888,1.8188064,0.37349856
1985/05,10.234944,5.6377728,1.8085248
1985/06,6.253632,3.7183104,0.77074848
1985/07,4.7542464,2.8473984,0.90388224
1985/08,6.2878464,3.1110912,2.49113664
1985/09,19.044288,12.572928,3.3969024
1985/10,13.027392,7.019136,2.1009888
1985/11,6.530976,3.2321376,1.2140928
1985/12,1.5971904,1.0301472,0.13338432
1986/01,1.964304,1.0525248,0.341064
1986/02,2.273616,1.2183264,0.3837456
1986/03,1.6095456,0.6970752,0.48341664
1986/04,1.7493408,1.091232,0.33150816
1986/05,3.6346752,2.2788864,0.51981696
1986/06,5.5462752,3.3535296,1.538136
1986/07,12.7291392,8.8312896,1.68997536
1986/08,1.6861824,0.7256736,0.45911232
1986/09,3.8232,1.9717344,0.5986656
